
=== Extracted from C:\Users\Suad\Documents\Projekte\AI_TendersAnalysis\tender_full_files_for_ai\2024-07 WienIT GmbH - RV IT-Consulting\Anhang+A+-+WSTW+IT+Capability+Map+2024.xlsx - Sheet: Tabelle1 ===
Leistungsbereich | Gruppe | Fähigkeit | Beschreibung
IT-Plattformen | Applikationsbetrieb | Logging Service | Anwendungsprotokolle sammeln und Monitoring | betroffen sind nur Systeme bei denen im Konzern das Tool definiert wird
IT-Plattformen | Applikationsbetrieb | Software Administration | Administration von Software inkl. Rechtemanagement, Koordination Service Management, 3rd Level Support
IT-Plattformen | Applikationsbetrieb | Softwareupdates von Enterprise Applikationen | Durchführen von Software Updates und Wartungsarbeiten im Bereich von Enterprise Applikationen z.B. in SAP / CRM, Software Update-Center,  Management von Router-Software etc., Mobile Device Mgmt; Software die für mehrere Unternehmen zur Verfügung stehen
IT-Plattformen | Data | Data Analytics | Allgemeine Datenanalyse inkl. Data Science
IT-Plattformen | Data | Data Engineering | Erstellen und Verwalten von Prozessen und Datenaufbereitung (ETL, Human Ressources)
IT-Plattformen | Data | Datenarchitektur | Aufbau und Verwaltung von logischen und physischen Datenmodellen inkl. Daten-Katalogen und Daten Lineage, Masterdata Management, Metadata Management
IT-Plattformen | Data | Geoinformationssystem | Entwicklung und System für GIS-Anwendungen
IT-Plattformen | Data | Dashboarding & Reporting | Bereitstellen der Umgebung für universelles Standard Reporting, d.h. Tools, Schnittstellen, Daten, Experten-Knowhow
IT-Plattformen | Integration | API Management | Zentrale API-Management Plattform (Test & Produktion-Umgebung)
IT-Plattformen | Integration | Enterprise Application Integration | Verknüpfen von dezidierten Awendungen (z.B. über Integration Server)
IT-Plattformen | Integration | ETL & Data-Streaming Tools | Tools zur Aufbereitung von Daten (Batch oder Realtime)
IT-Plattformen | Integration | Internet of Things Plattform | Integration Sensoren und Devices in die IT-Landschaft
IT-Plattformen | Softwareentwicklung | Continous Deployment | Toolchain zum laufenden Roll-out von neuen Funktionen
IT-Plattformen | Softwareentwicklung | End-to-End Testing | Testen der vollständigen Kette für Applikationen (Webseiten, Hardware-Verhalten, etc.)
IT-Plattformen | Softwareentwicklung | Frontend Entwicklung | Entwickler für Web Frontends und Portlets
IT-Plattformen | Softwareentwicklung | Integration Backend Entwicklung | Allgemeine Entwicklung von Integration Backend Applikationen - Fokus EAI & API Management
IT-Plattformen | Softwareentwicklung | Java und Sonstige Backend Entwicklung | Allgemeine Entwicklung von Java und sonstige Scriptsprachen Backend Applikationen (nicht SAP)
IT-Plattformen | Softwareentwicklung | Mobile Devices | iOS & Android Native App Entwicklung (Front-End)
IT-Plattformen | Softwareentwicklung | Release Management | Planen und Steuern von Software Releaseses inkl. Standardsoftware, Koordination von Wartungsfenstern, etc.
IT-Plattformen | Softwareentwicklung | Requirements Engineering | Erfassen von Anforderungen und übersetzen in umsetzbare Aufgaben
IT-Plattformen | Softwareentwicklung | SAP Backend Entwicklung inkl. Customizing | Allgemeine Entwicklung von SAP Backend Applikationen
IT-Plattformen | Softwareentwicklung | Software Solution Architektur | Erstellen von technischen Architekturen für Applikationen
IT-Plattformen | Softwareentwicklung | Testing & Testautomatisierung | Erstellen von Softwaretests und Testautomatisierung
IT-Plattformen | Softwareentwicklung | UI/UX Designer | Konzipieren von User Interfaces und User Experience von Anwendungen (Device-unabhängig)
Applikationen | Business Workflows | Postlauf & Scan für Rechnungen | Scannen der eingehenden Rechnungen und weiterverteilen an E-Mail Postfächer, Weiterverarbeitung im Freigabeprozess
Applikationen | Business Workflows | Prozessmanagement | Definition von Prozessen und Abläufen
Applikationen | Business Workflows | Robotic Process Automation | Automatisierte Durchführung von Prozessen am User-Desktop
Applikationen | Business Workflows | Ticket Management | Gesamtkonzept & Tools zur Verwaltung von Tickets - Bereich Commodities (z.B. Remedy, ServiceNow, Jira); Zentrale Rahmenbedingungen
Applikationen | Business Workflows | Workflow Management System | Tools zur Abbildung und Ausführung von Prozessen (z.B. Firestart, Aris, WMD)
Applikationen | Facility Management | Gebäudemanagement | Systeme zur Verwaltung von Gebäuden (BIM, CAFM, etc.)
Applikationen | Facility Management | Bürogebäudesteuerung | Bürogebäudeautomatisieurng & Systeme zur Steuerung der Gebäudetechnik in Bürogebäuden (Heizung, Klima, Lüftung, etc.)
Applikationen | Facility Management | Zutrittssysteme | Systeme zur Verwaltung von Zutritt zu einzelnen Gebäuden und Räumen für interne MA (MA-Karte)
Applikationen | Finance | Beschaffung | IT-Tools und Prozesse zur Durchführen von allgemeinen Beschaffungsvorgängen (z.B. ANKÖ, SAP BANF,…)
Applikationen | Finance | Bilanzierung | IT-Tools zur Erstellen von Bilanzen (inkl. Konsoldierung)
Applikationen | Finance | Buchhaltung | IT-Tools & IT-Prozesse zur Verbuchen von Belegen
Applikationen | Finance | Controlling | IT-Tools & IT-Prozesse zur Auswertung von Buchungen
Applikationen | Finance | Risikomanagement | IT-Tools zum Erfassen & Steuern von Risiko
Applikationen | Finance | Treasury Management | IT-Tools zur Verwalten der vorhandenen Finanzanlagen und Finanz-Assets
Applikationen | Human Ressources | Gehaltsabrechnung | Abrechnung von Gehältern
Applikationen | Human Ressources | Personaldisposition | IT-Tool zur Einteilung von Dienstplänen, Zuteilung von Personal
Applikationen | Human Ressources | Personalverwaltung | IT-Tool zum Verwalten von Stammdaten des bestehenen Personals (Org-Struktur, Kontakt, etc.)
Applikationen | Human Ressources | Recruiting | IT Tools zur Durchführung des Bewerbungsprozesses für neue MitarbeiterInnen
Applikationen | Human Ressources | Weiterbildung & Coaching | IT Tools Verwaltung und Bereitstellen von Schulungen + Content
Applikationen | Human Ressources | Zeitmanagement | Tool zum Erfassen & Verwalten von Arbeitszeiten
Applikationen | Innovationen | Augmented & Virtual Reality  | Entwickler und Systeme für Augmented & Virutal Reality
Applikationen | Innovationen | Blockchain | Entwickler und Architekten für Blockchain Anwendungen
Applikationen | Innovationen | Innovation Lab | Umsetzen von kleinen Prototypen-Anwendungen und entwickeln neuer Produkte, Prozessinnovationen & Arbeitsweisen
Applikationen | Innovationen | Innovationsmanagement | IT-Anwendungen für allgemeines Innovationsmanagement (Ideefindung, Trendscouting, etc.)
Applikationen | Operations & Logistik | Asset Management | Systeme zur Verwaltung von Anlagen oder Assets (auch Friedhöfe, Parkplätze, etc.)
Applikationen | Operations & Logistik | Disposition und Auftragsabwicklung | IT Systeme zur Verwaltung und Bearbeitung von Service-Aufträgen
Applikationen | Operations & Logistik | Energiewirtschaftssysteme / Energiemarkt | Systeme in der Energiewirtschaft, insb. Trading und Energy Communities
Applikationen | Operations & Logistik | Fahrgastinformationssystem | Systeme zur Information von Fahrgästen (nicht Leitstand)
Applikationen | Operations & Logistik | Lagerverwaltung | IT-Tools zum Verwaltung von Lagern und Lagerständen
Applikationen | Operations & Logistik | Routing Systeme und Mobilitätsmanagement | Systeme zum Routing im Verkehr (Multi-Modal) und betriebliches Mobilitätsmanagement
Applikationen | Recht | Compliance | IT-Tools zur Verwaltung von Compliance Regeln (z.B. Hinweisgeberplattform), damit ist keine IT-Compliance gemeint
Applikationen | Recht | Datenschutz | Alle IT-Systeme rund um Datenschutz
Applikationen | Recht | Sonstige Rechtssysteme | Allgemeine Systeme für Recht, z.B. AGB-Textverwaltung
Applikationen | Sales & Kundenservice | Customer Analytics | Tracking von User-Verhalten und Kundeninteraktionen
Applikationen | Sales & Kundenservice | Customer Care | Tools zur Verwaltung des End-Kundenkontakts bei allgemeinen Anfragen über alle Kanäle (Web, E-Mail, Telefon, Service Center)
Applikationen | Sales & Kundenservice | Customer Relationship Management | Tools zur Verwaltung der Kundenbeziehung und von Kundenanfragen
Applikationen | Sales & Kundenservice | Digitale Vertriebsplattformen | Tools zum Verkauf von Produkten und Services an Kunden auf digitalen "Standard" Kanälen (Web, Mobile)
Applikationen | Sales & Kundenservice | Loyalty Management | IT-Tools zum Verwalten von Bonusprogrammen & Tools
Applikationen | Sales & Kundenservice | Marketing Automation | IT-Tool zum E-Mail Marketing, Social Media Marketing, Newsletter
Applikationen | Sales & Kundenservice | Produktkonfiguration und -management | Tools zur Erstellung von neuen Produkten und ermöglichen von Produktkonfigurationen und Pricing
Applikationen | Verrechnung | Externe Payment Provider | Anbieter zur Zahlungsabwicklung Online und Offline
Applikationen | Verrechnung | Fakturierung & Rechnungslegung | IT-Tools zum Erstellen der Rechnung über erfolgte Leistung & Verbuchung der Leistung in der internen Buchhaltung
Applikationen | Verrechnung | Inkasso Management | IT-Tools zum Verwalten von nicht erhaltenen Zahlungseingängen
Applikationen | Verrechnung | Kontokorrent & Zahlungsabwicklung | Ausgleich der offenen Rechnungen und Abwickeln der Zahlungsflüsse
Applikationen | Verrechnung | Leistungserhebung | Erfassen der verbrauchten Menge bei Service-Verträgen inkl. Smart Meter
Applikationen | Webportale & Apps | Content Management System | Software zur gemeinschaftlichen Erstellung, Bearbeitung, Organisation und Darstellung digitaler Inhalte (Content) zur Verwendung in Webseites
Applikationen | Webportale & Apps | Interne Portale & Apps | Auftritte zum internen News-Austausch: Intranet, Teamgeist (digital), Info-Screens,…
Applikationen | Webportale & Apps | Marketingportale & Apps | Portal für besondere Marketing Initiativen
Applikationen | Webportale & Apps | Produkt- und Serviceportale/-apps | Portal zur Bereitstellung einer Leistung (z.B. Smart Meter) - Frontend
Applikationen | Webportale & Apps | Unternehmensportale & Apps | Portalauftritte der Unternehmen inkl. aller Funktionen, zentrale Aspekte sind dabei Design & CMS
Übergreifende Dienstleistungen | Demand Management | Budgetverwaltung & IT-Controlling | Verwalten des IT-Budgets
Übergreifende Dienstleistungen | Informationssicherheit | Security Incident Management | Aufgaben zum Reagieren auf kurzfristige Security Incidents
Übergreifende Dienstleistungen | IT-Strategie & Governance | Enterprise Architektur | Erstellen und Verwalten der Enterprise Architektur - Alle IT-Systeme & Schnittstellen, Dokumentation von Softwaretechnologien, Vorgaben für Technologieentscheidungsprozesse, Vorgaben zur Erstellung von Solution Architekturen, Koordination mit Enterprise Daten Architektur und Infrastruktur Architektur
Übergreifende Dienstleistungen | IT-Strategie & Governance | Enterprise Daten Architektur | Erstellen und Verwalten der Enterprise Daten Architektur (welche Datentypen haben wir, wie können diese Identifiziert werden)
Übergreifende Dienstleistungen | IT-Strategie & Governance | Governance | Erstellen und Verwalten der IT-Governance, Kontinuierliche Verbesserung der Prozesse und Abläufe
Übergreifende Dienstleistungen | Demand Management | IT Service Management | Koordinieren von fachspezifischen Themen, koordinieren unterschiedlicher Technnologien / Entwicklungsstränge
Übergreifende Dienstleistungen | IT-Strategie & Governance | IT-Unternehmensrichtlinien | Erstellen und Verwalten der IT-UR anhand von Governance Vorgaben, Kontinuierliche Verbesserung der Prozesse und Abläufe
Übergreifende Dienstleistungen | IT-Strategie & Governance | Infrastruktur Architektur | Erstellen und Verwalten der Infrastruktur Architektur, Defiinieren von Standards für Applikationsbetrieb
Übergreifende Dienstleistungen | IT-Strategie & Governance | IT-Community Management | Managen der Community und Organisieren von Gremien und Events, Überblick zu allen Communities
Übergreifende Dienstleistungen | IT-Strategie & Governance | Strategie | Erstellen einer IT-Strategie
Übergreifende Dienstleistungen | Demand Management | IT-Beratung | Allgemeine IT-Beratung von Fachbereichen mit entsprechendem Fach-Know
Übergreifende Dienstleistungen | Demand Management | IT-Beschaffung & IT-Dienstleistermanagement | Operative Beauftragung von IT-Leistungen (intern und extern) und Managen der IT-Dienstleister
Übergreifende Dienstleistungen | Demand Management | IT-Projektmanagement | Bereitstellen von Projektleitern für IT-Projekte & Agile Leads (Scrum Master oder PO)
Übergreifende Dienstleistungen | Demand Management | Lizenzmanagement | Verwaltung von vorhanden Lizenzen und Abonnements
Übergreifende Dienstleistungen | Demand Management | Projekt- & Portfoliomanagement | Erfassung, Reihung, Methodik für Projekte
Übergreifende Dienstleistungen | Demand Management | Vertrags- & SLA Management | Steuerung und Prüfung der SLAs und der Verträge
Übergreifende Dienstleistungen | Informationssicherheit | Security Architektur | Erstellen und Verwalten von Security Konzepten/ Architekturen
Übergreifende Dienstleistungen | Informationssicherheit | Security Audit | Prüfen von Systemen auf Informationssicherheit

=== Extracted from C:\Users\Suad\Documents\Projekte\AI_TendersAnalysis\tender_full_files_for_ai\2024-07 WienIT GmbH - RV IT-Consulting\Anhang+E1+-+Eignungskriterien.pdf ===

=== Page 1 ===

[Text]
 
WienIT GmbH │ Thomas-Klestil-Platz 13 │ 1030 Wien │ t: +43 5 90405 0 │wienit.at  
FN 255649 f │ HG Wien │ DVR: 2109667 │ UID-Nr.: ATU61296118  
UniCredit Bank Austria AG │ IBAN: AT64 1200 0514 2844 2601 │ BIC: BKAUATWW 
 
Anhang E1 - Eignungskriterien 
 
 
 
 
 
 
 
 
 
 
Kennwort: WienIT 531000762 
Datum: 19.07.2024 
Version 1.0 


[OCR from Image 1]
25 WIEN IT

WIENER STADTWERKE GRUPPE


=== Page 2 ===

[Text]
 
Anhang E1 - Eignungskriterien 
IT CONSULTING 
 
Seite 2 von 8 
 
1. Allgemeine Bestimmungen 
 
Vorbemerkung: Gleichberechtigung ist uns sehr wichtig, aber auch die Lesbarkeit unserer Ausschreibungs-
unterlagen. Aus Gründen der besseren Lesbarkeit verzichten wir daher bei personenbezogenen Bezeich-
nungen auf die gleichzeitige Verwendung männlicher und weiblicher Sprachformen und verwenden durch-
gehend die männliche Form. Im Sinne des Gleichbehandlungsgesetzes sind diese Bezeichnungen nicht 
geschlechtsspezifisch zu verstehen, sondern schließen alle Geschlechter gleichermaßen ein. 
 
 
Es gelten die „Allgemeinen Eignungsanforderungen der Wiener Stadtwerke“  
WSTW 9310 Teil 1, Ausgabe 12.09.2018 (bei Vergaben gemäß BVergG 2018 idgF)  
abrufbar unter wienerstadtwerke.at - Publikationen. 
 
Anerkennung von Berufsqualifikationen bei grenzüberschreitenden Bau- und Dienstleistungen: 
Es gelten die Regelungen über die „Anerkennung von Berufsqualifikationen der Wiener Stadtwerke bei 
grenzüberschreitenden Bau- und Dienstleistungen“ (WSTW 6310 - Ausgabe 01.02.2018), abrufbar unter 
wienerstadtwerke.at - Publikationen. 
 
Die Erbringung von Nachweisen kann auch durch eine für den AG zugängliche Datenbank erfolgen (z.B. 
ANKÖ), soweit die Nachweise für den AG direkt abrufbar sind. In diesem Fall sind die Datenbank und die 
entsprechende Mitgliedsnummer/ID zu nennen, womit der Bewerber/Bieter auch der Verwendung seiner 
Daten zustimmt. 
 
Unterlagen und Nachweisen, die nicht in deutscher Sprache abgefasst sind, ist eine beglaubigte Überset-
zung in die deutsche Sprache beizufügen. 
 
Die für die Eignungsprüfung geforderten Unterlagen müssen auch für alle genannten Subunterneh-
men/Dritte - im geforderten Umfang - vorgelegt werden! 
 
Die für die Eignungsprüfung relevanten Informationen in den Nachweisen dürfen, zurückgerechnet vom 
Tag der Übermittlung des Teilnahmeantrags, nicht älter als 6 Monate sein!  
Beispiel: Abfrage gestern - letzte Prüfung/Aktualisierung der Daten vor 1 Jahr = ungültig!  
Es zählt nicht das Datum der Abfrage, sondern das Datum der Erstellung der für die Eignungs-
prüfung relevanten Daten. 
 
Ein Unternehmer muss bei Vergaben im Oberschwellenbereich jene Nachweise nicht vorlegen, die dem 
AG bereits in einem früheren Vergabeverfahren im Oberschwellenbereich vorgelegt wurden und weiterhin 
geeignet sind, die Eignung nachzuweisen. In diesem Fall hat der Unternehmer das konkrete frühere Verga-
beverfahren, in dem die Nachweise vorgelegt wurden, bekanntzugeben. 
 
Vom AG nachgeforderte Dokumente zur Eignungsprüfung sind binnen 3 Kalendertagen via Vergabeportal 
nachzureichen. 
 
Die Eignung muss während der gesamten Laufzeit des Verfahrens und der Laufzeit des Vertrages gegeben 
sein. 
 
Die Einladung zur Angebotslegung (2. Stufe) ergeht nur an geeignete Unternehmen.  
 
 


[OCR from Image 1]
25 WIEN IT

WIENER STADTWERKE GRUPPE


=== Page 3 ===

[Text]
 
Anhang E1 - Eignungskriterien 
IT CONSULTING 
 
Seite 3 von 8 
 
2.  Eignungskriterien / Eignungsnachweise 
Auf Basis der WSTW 9310 Teil 1, Ausgabe 12.09.2018 werden für das gegenständliche Vergabeverfah-
ren nachstehende Eignungskriterien und Eignungsnachweise festgelegt: 
 
 
Eignungskriterium 
Eignungsnachweis 
 
Befugnis 
B1 Berechtigung zur Ausführung der  
gegenständlichen Leistungen 
Auszug aus dem, für das Unternehmen zuständi-
gen, Berufs- oder Handelsregister (z.B. Gewer-
beinformationssystem Austria (GISA)) in wel-
chem 
die 
erforderlichen 
Berechtigungen 
erkennbar sind. 
 
Finanzielle und wirtschaftliche Leistungsfähigkeit 
F1 Betriebshaftpflichtversicherung 
Der Nachweis ist durch Vorlage einer Kopie der 
Haftpflichtversicherungspolizze oder der De-
ckungsbestätigung zu erbringen. 
Details siehe unten. 
F2 
KSV-Rating nicht schlechter als 399 
oder eine gleichwertige Bonitätsstufe einer an-
deren europäischen Wirtschaftsauskunfts-
stelle. 
 
Auskunft des Kreditschutzverbandes von 1870 
oder einer gleichwertigen europäischen Wirt-
schaftsauskunftsstelle  
für einzelne Bewerber oder die Mitglieder einer 
Bewerbergemeinschaft. 
Details siehe unten. 
 
F3 Gesamtumsatz 
 
 
Formelle Erklärung eines Steuerberaters oder 
Wirtschaftstreuhänders 
bzw. 
der 
Jahresab-
schluss. 
Details siehe unten. 
 
 
 


=== Tables from Page 3 ===

[Table 1]
 | Eignungskriterium | Eignungsnachweis
 | Befugnis | 
B1 | Berechtigung zur Ausführung der
gegenständlichen Leistungen | 
 |  | Auszug aus dem, für das Unternehmen zuständi-
 |  | gen, Berufs- oder Handelsregister (z.B. Gewer-
 |  | beinformationssystem Austria (GISA)) in wel-
 |  | chem die erforderlichen Berechtigungen
 |  | erkennbar sind.
 |  | 
 | Finanzielle und wirtschaftliche Leistungsfähigkeit | 
F1 | Betriebshaftpflichtversicherung | 
 |  | Der Nachweis ist durch Vorlage einer Kopie der
 |  | Haftpflichtversicherungspolizze oder der De-
 |  | ckungsbestätigung zu erbringen.
 |  | Details siehe unten.
 |  | 
F2 | KSV-Rating nicht schlechter als 399
oder eine gleichwertige Bonitätsstufe einer an-
deren europäischen Wirtschaftsauskunfts-
stelle. | 
 |  | Auskunft des Kreditschutzverbandes von 1870
 |  | oder einer gleichwertigen europäischen Wirt-
 |  | schaftsauskunftsstelle
 |  | für einzelne Bewerber oder die Mitglieder einer
 |  | Bewerbergemeinschaft.
 |  | Details siehe unten.
 |  | 
F3 | Gesamtumsatz | 
 |  | Formelle Erklärung eines Steuerberaters oder
 |  | Wirtschaftstreuhänders bzw. der Jahresab-
 |  | schluss.
 |  | Details siehe unten.
 |  | 

[OCR from Image 1]
25 WIEN IT

WIENER STADTWERKE GRUPPE


=== Page 4 ===

[Text]
 
Anhang E1 - Eignungskriterien 
IT CONSULTING 
 
Seite 4 von 8 
 
 
Zuverlässigkeit 
Nichtvorliegen von Ausschlussgründen gemäß § 78 Abs 1 und Abs 2 BVergG 2018 (im klassi-
schen Bereich) bzw. § 249 Abs 1 und Abs 2 BVergG 2018 (im Sektorenbereich), insbesondere: 
Z1 
Nichtvorliegen einer rechtskräftigen  
Verurteilung 
gemäß § 78 Abs 1 Z 1 und Abs 2 BVergG 
2018 (im klassischen Bereich) bzw. § 249 Abs 
1 BVergG 2018 (im Sektorenbereich), aus wel-
cher die berufliche Unzuverlässigkeit des Un-
ternehmers resultiert. 
Strafregisterbescheinigung gemäß § 10 des 
Strafregistergesetzes 1968, BGBl. Nr. 277/1968, 
bzw. die Registerauskunft für Verbände gemäß § 
89m des Gerichtsorganisationsgesetzes - GOG, 
RGBl. Nr. 217/1896, oder eine gleichwertige Be-
scheinigung eines Gerichtes oder einer Verwal-
tungsbehörde des Sitzstaates des Unterneh-
mers. 
 
Dies auch für sämtliche Personen, die Mitglied im 
Verwaltungs-, Leitungs- oder Aufsichtsorgan des 
Unternehmers sind oder die darin Vertretungs-, 
Entscheidungs- oder Kontrollbefugnisse haben, 
sowie Personen mit Prokura aller Art. 
 
Z2 
Keine Eröffnung eines Insolvenzverfahrens 
über das Vermögen des Unternehmens  
und  
kein Unterbleiben der Eröffnung eines In-
solvenzverfahrens mangels kostendecken-
den Vermögens. 
Auszug aus der Insolvenzdatei gemäß § 256 der 
Insolvenzordnung – IO, RGBl. Nr. 337/1914, oder 
gleichwertige Dokumente der zuständigen Behör-
den des Sitzstaates des Unternehmers. 
Z3 
Keine Liquidation des Unternehmens und  
keine Einstellung der gewerblichen Tätig-
keit des Unternehmens. 
Firmenbuchauszug gemäß § 33 des Firmenbuch-
gesetzes, BGBl. Nr. 10/1991, und die Auskunft 
aus dem Gewerbeinformationssystem Austria 
(GISA) gemäß § 365e Abs. 1 der Gewerbeord-
nung 1994 – GewO 1994, BGBl. Nr. 194/1994, 
oder gleichwertige Dokumente der zuständigen 
Behörden des Sitzstaates des Unternehmers 
Z4 
Erfüllung der Verpflichtungen  
zur Entrichtung der 
 
- Sozialversicherungsbeiträge 
- Steuern und Abgaben  
 
in Österreich oder nach den Vorschriften des 
Landes, in dem das Unternehmen seinen Sitz 
hat. 
Letztgültige Kontobestätigung bzw. Unbedenk-
lichkeitsbescheinigung des zuständigen Sozial-
versicherungsträgers  
und  
die letztgültige Rückstandsbescheinigung gemäß 
§ 229a der Bundesabgabenordnung – BAO, 
BGBl. Nr. 194/1961, oder gleichwertige Doku-
mente der zuständigen Behörden des Sitzstaates 
des Unternehmers 
 
 


=== Tables from Page 4 ===

[Table 1]
